x,y
-5260.147,-9675.078
-4815.535,-10327.592
-4240.995,-10860.26
-1117.946,-8442.706
-4738.218,-11581.388
-5366.713,-9647.266
-4363.58,-6643.05
-1187.409,-3491.787
-618.16,-4512.53
-636.608,-4521.216
-1953.05,-5734.65
-1915.246,-5817.894
-1601.059,-3885.367
-675.171,-4365.935
-3929.188,-7978.536
1201.772705,-2964.393311
-3144.549,-7834.332
-529.979,-3920.962
-4140.19,-6922.452
-5124.728,-6605.017
-4919.089,-6035.87
-3579.215,-5424.423
-4327.11,-11221.746
-2144.5,-1956.5
-2520.924,-10911.617
-1626.668,-5059.092
-4634.312,-8331.93
-455.614,-4334.22
-1249.013,-3949.894
-2454.2,-5570.377
-1928.871,-6982.667
-2863.086,-4680.593
-4241.334,-3906.632
-4148.164,-3916.627
-4065.026,-4402.833
-2454.2,-5570.377
-1513.756,-2496.281
-1903.078,-2103.873
-1402.68,-3185.74
-3604.045,-9430.965
-4910.279,-11064.448
-2460.21,-12651.94
-3562.327,-5369.655
-1238.707,-3882.582
-618.16,-4512.53
-1179.79,-3976.236
-2426.624,-4116.063
-4649.394,-10653.293
-376.268,-4163.08
-5605.56,-9832.13
-4695.697,-10279.767
-5166.99,-10965.22
-3868.69,-9765.17
-3828.789,-5053.948
-2172.78,-5581.166
-1870.343,-7158.932
-1699.801,-2473.468
-4240.693,-6235.492
-3038.898,-7427.526
-4848.168,-11455.866
-1480.845,-4763.776
-624.384,-4082.197
-4283.811,-6181.574
-1523.47,-4804.15
-1353.961,-4915.531
-4787.808,-10306.257
-2374.55,-7492.238
-1732.59,-3737.856
-916.25,-3434.555
-4273.312,-7462.243
-3784.454,-7600.915
-4307.7,-7464
-1621.525,-6387.958
-4285.461,-7590.654
-4001.753,-4372.699
-2913.913,-2240.83
-4326.645,-6844.234
-4139.895,-4441.022
-3215.653626,-2643.624817
-3196.87,-10939.134
-3196.87,-10939.134
-1291.534,-12682.725
-2895.867,-10251.915
-2535.406,-6492.879
-3045.005,-10224.423
-1951.323,-4350.131
-2390.765,-6196.207
-1850.029,-7135.074
-2358.703,-5993.252
-3766.966,-10822.322
-433.097,-3124.239
-433.097,-3124.239
-11571.40881,-4397.879395
-3939.9,-10876.517
-3992.562,-9314.097
-2571.128906,-4035.968018
-6124.571,-1005.185
-5581.79,-9091.628
-5002.669,-11159.87
-4778.885,-10931.733
-3961.232,-10953.427
-4943.78,-10412.52
-4932.37,-10408.381
-4705.14,-10308.141
-2779.94,-10076.606
-4511.231,-10469.392
-3864.817,-10907.702
-1799.77,-11124.34
-4484.869,-10468.651
-4484.869,-10468.651
-1264.36,-3867.62
-5879.499,-9313.592
-2123.347,-11432.589
-3662.483,-4090.468
-2342.944,-4844.794
-2037.146,-5845.087
-5976.871,-5834.812
-5395.127,-8369.338
-3196.87,-10939.134
-2130.497,-11404.372
-1508.829,-7145.449
-1698.2,-8263.52
